        MR        MRT         R2
 8.651E+02  6.333E+02  5.359E-01
 1.628E+03  1.218E+03  5.603E-01
 9.726E+02  3.209E+02  1.089E-01
 8.369E+02  3.660E+02  1.913E-01
 1.180E+03  4.148E+02  1.236E-01
 4.863E+02  3.438E+02  4.998E-01
 9.160E+02  5.569E+02  3.697E-01
 9.108E+02  3.462E+02  1.445E-01
 8.975E+02  4.843E+02  2.911E-01
 1.095E+03  6.164E+02  3.170E-01
 1.127E+03  5.809E+02  2.658E-01
 8.439E+02  3.994E+02  2.241E-01
 1.133E+03  3.834E+02  1.144E-01
 1.037E+03  4.877E+02  2.211E-01
 7.760E+02  5.425E+02  4.887E-01
 7.302E+02  4.616E+02  3.996E-01
 8.818E+02  4.196E+02  2.264E-01
 7.874E+02  1.533E+02  3.792E-02
 1.027E+03  6.587E+02  4.117E-01
 7.412E+02  6.460E+02  7.596E-01
 1.523E+03  8.082E+02  2.815E-01
 1.736E+03  4.598E+02  7.016E-02
 7.386E+02  4.421E+02  3.584E-01
 7.138E+02  2.605E+02  1.332E-01
 1.013E+03  8.663E+02  7.311E-01
 1.071E+03  3.477E+02  1.053E-01
 1.189E+03  6.592E+02  3.073E-01
 8.731E+02  6.474E+02  5.498E-01
 7.897E+02  2.654E+02  1.130E-01
 1.471E+03  6.579E+02  2.001E-01
 1.207E+03  6.796E+02  3.168E-01
 1.490E+03  1.047E+03  4.941E-01
 1.167E+03  6.852E+02  3.446E-01
 9.204E+02  7.227E+02  6.166E-01
 7.581E+02  6.118E+02  6.511E-01
 9.042E+02  1.714E+02  3.593E-02
 9.121E+02  6.643E+02  5.305E-01
 9.916E+02  2.349E+02  5.614E-02
 5.388E+02  3.816E+02  5.015E-01
 7.389E+02  1.287E+02  3.036E-02
 2.026E+03  7.966E+02  1.546E-01
 5.768E+02  4.302E+02  5.561E-01
 2.078E+03  4.160E+02  4.008E-02
 5.061E+02  3.044E+02  3.617E-01
 1.159E+03  4.093E+02  1.247E-01
 7.329E+02  2.048E+02  7.810E-02
 9.460E+02  6.956E+02  5.406E-01
 1.266E+03  6.119E+02  2.337E-01
 1.442E+03  9.698E+02  4.524E-01
 9.904E+02  4.981E+02  2.530E-01
 1.124E+03  4.523E+02  1.620E-01
 1.818E+03  7.972E+02  1.923E-01
 1.333E+03  8.162E+02  3.749E-01
 8.523E+02  6.476E+02  5.774E-01
 1.286E+03  5.768E+02  2.011E-01
 7.597E+02  4.521E+02  3.542E-01
 1.542E+03  5.972E+02  1.501E-01
 1.076E+03  3.177E+02  8.709E-02
 1.009E+03  6.335E+02  3.940E-01
 7.633E+02  6.613E+02  7.506E-01
 2.169E+03  1.322E+03  3.716E-01
 9.700E+02  4.793E+02  2.441E-01
 1.158E+03  8.108E+02  4.899E-01
 1.730E+03  3.187E+02  3.395E-02
 1.526E+03  4.129E+02  7.324E-02
 7.076E+02  3.570E+02  2.545E-01
 7.152E+02  5.267E+02  5.425E-01
 7.474E+02  7.198E+02  9.275E-01
 1.328E+03  5.621E+02  1.790E-01
 7.420E+02  4.531E+02  3.729E-01
 6.786E+02  1.824E+02  7.224E-02
 2.096E+03  8.393E+02  1.603E-01
 4.911E+02  2.554E+02  2.705E-01
 4.300E+02  2.756E+02  4.110E-01
 1.074E+03  8.324E+02  6.005E-01
 1.188E+03  6.290E+02  2.805E-01
 1.315E+03  3.787E+02  8.291E-02
 2.234E+03  8.406E+01  1.416E-03
 9.382E+02  5.513E+02  3.452E-01
 6.653E+02  3.233E+02  2.362E-01
 2.254E+03  7.599E+02  1.137E-01
 1.277E+03  8.145E+02  4.070E-01
 1.647E+03  3.725E+02  5.117E-02
 1.502E+03  1.538E+02  1.049E-02
 6.721E+02  2.157E+02  1.030E-01
 1.761E+03  4.052E+02  5.293E-02
 1.392E+03  7.760E+02  3.108E-01
 4.305E+02  2.354E+02  2.990E-01
 1.401E+03  2.380E+02  2.885E-02
 6.526E+02  3.429E+02  2.760E-01
 3.577E+03  8.814E+02  6.073E-02
